name,test_accuracy,test_loss,best_val_accuracy,best_epoch,parameters,conv_linear_macs,training_seconds,inference_ms_per_image,checkpoint_bytes,device
baseline,0.3359375,1.7329945862293243,0.291015625,2,289194,38634752,2.7062991249840707,0.05348274623884208,1175057,mps
starnet,0.357421875,1.765604853630066,0.333984375,2,280522,37331904,3.125692750007147,0.12319758991452545,1165337,mps
ablation,0.359375,1.730251669883728,0.341796875,2,280522,37331904,2.8912483339954633,0.12335661335782788,1165522,mps
